UR	kam.n.man.n	Stress	Max	Ident(voice)	Onset	Agree(voice)	*Complex Onset	*Complex Coda	Align-L	Align-R	*[+consonantal, -voice]	Dep	Nocoda	*CC
	ɡ̠ʰam.n.man.n	na	0	1!	0	0	0	0	1	0	0	0	4	3
	kəm.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨ.ma.nɪn	na	0	0	0	0	0	0	0	0	1	2	2	1
	x̠am.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	t͡ɕam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kam.nɨ.mɨ.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kaəm.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	3!	2	1
	k͡pam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	cʰam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kam.n.man.nə	na	0	0	0	0	0	0	0	1!	1	1	3	3
	kam.nɨ.mʔa.nɨn	na	0	0	0	1!	1	0	0	0	2	3	2	2
	k+ʰam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kam.na.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.nʉn	na	0	0	0	0	0	0	0	0	1	2	2	1
	cʰam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kam.ŋ+ɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nəɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	3!	2	1
	kam.n.mam.n	na	1!	0	0	0	0	0	0	0	1	1	4	3
	kɨm.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kɘm.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨ.mɘ.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.ɨn	na	1!	0	1	0	0	0	0	0	1	2	2	1
	kam.n.man.d	na	0	0	0	0	0	0	0	1!	1	0	4	3
	kam.ɳ.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nə.man.n	na	0	0	0	0	0	0	0	0	1	1	3!	2
	qʰam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	tam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kɤm.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨ.ma.nɰn	na	0	0	0	0	1!	1	0	0	1	2	2	3
	tam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	ɡ+ʰam.nɨ.ma.nɨn	na	0	1!	0	0	0	0	1	0	0	2	2	1
	kam.nɨ.maʔ.nɨn	na	0	0	0	1!	0	0	0	0	2	3	3	2
	kam.nɨ.mɤ.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.ʔnɨn	na	0	0	0	1!	1	0	0	0	2	3	2	2
	əkam.n.man.n	na	0	0	1!	0	0	0	1	0	1	1	4	3
	kam.ŋ+.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kaŋ.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	am.nɨ.ma.nɨn	na	1!	0	1	0	0	0	1	0	0	2	2	1
	kam.nʔ.man.n	na	0	0	0	2!	1	1	0	0	2	1	4	4
	kam.nɪ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.ən.man.n	na	0	0	1!	0	0	0	0	0	1	1	4	2
	ɡ͡ɣam.n.man.n	na	0	1!	0	0	0	0	1	0	0	0	4	3
	kæm.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨ.ma.nɨ	na	0	0	0	0	0	0	0	1!	1	1	1	1
	kam.nɨ.ɳa.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	ʔkam.nɨ.ma.nɨn	na	0	0	0	0	1!	0	1	0	2	3	2	2
	kam.nɨ.ma.ŋ+ɨn	na	1!	0	0	0	0	0	0	0	1	3	2	1
	ɡ̠̠͡ɣ̠am.n.man.n	na	0	1!	0	0	0	0	1	0	0	0	4	3
	ɡ+ʰam.n.man.n	na	0	1!	0	0	0	0	1	0	0	0	4	3
	k͡pʰam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	xam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kam.n.mɨn.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨ.b͡βa.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.n.ɳan.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.n.mad.n	na	1!	0	0	0	0	0	0	0	1	1	4	3
	kem.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.n.an.n	na	1!	0	1	0	0	0	0	0	1	0	4	2
	kam.n.ɱan.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
